Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Ломоносова, 52А",5 кімнат,200 м²,31 835 грн,"Голосіївський,",Виставковий центр
"просп. Свободи, 30",3 кімнати,68 м²,9 000 грн,"Подільський,",
"вул. В'ячеслава Липинського, 10",4 кімнати,180 м²,56 180 грн,"Шевченківський,",Золоті ворота
"Героїв Сталінграда проспект, 6А",2 кімнати,104 м²,30 000 грн,"Оболонський,",Оболонь
пл. Львівська,3 кімнати,60 м²,9 500 грн,"Святошинський,",Академмістечко
вул. Світла,2 кімнати,67 м²,8 999 грн,"Дарницький,",
"вул. Клавдіївська, 40Г",2 кімнати,54 м²,15 000 грн,"Святошинський,",Академмістечко
вул. Миколи Кибальчича,1 кімната,57 м²,6 790 грн,"Дніпровський,",Чернігівська
вул. Миколи Кибальчича,2 кімнати,52 м²,6 790 грн,"Дніпровський,",Чернігівська
"вул. Челябінська, 1",2 кімнати,50 м²,6 000 грн,"Дніпровський,",
"вул. Челябінська, 1",1 кімната,35 м²,7 500 грн,"Дніпровський,",Лівобережна
"просп. Берестейський(Перемоги), 18",2 кімнати,46 м²,12 000 грн,"Шевченківський,",Політехнічний інститут
"вул. Ахматової Анни, 31",1 кімната,43 м²,7 000 грн,"Дарницький,",Позняки
"просп. Правди, 72",1 кімната,35 м²,8 000 грн,"Подільський,",
"вул. Ревуцького, 40В",1 кімната,26 м²,9 000 грн,"Дарницький,",Харківська
"вул. Дубровицька, 5",2 кімнати,48 м²,12 000 грн,"Подільський,",
"вул. Прирічна, 19В",1 кімната,34 м²,8 300 грн,"Оболонський,",Мінська
"вул. Максима Берлінського, 31",1 кімната,32 м²,7 000 грн,"Шевченківський,",Дорогожичі
"вул. Бориса Житкова, 5А",1 кімната,31 м²,7 700 грн,"Шевченківський,",Сирець
"просп. Бажана Миколи, 24/1",3 кімнати,97 м²,15 000 грн,"Дарницький,",Позняки
"вул. Миколи Кибальчича, 11",1 кімната,50 м²,6 800 грн,"Дніпровський,",Чернігівська
"вул. Зарічна, 16",1 кімната,41 м²,15 000 грн,"Дарницький,",Осокорки
"просп. Берестейський(Перемоги), 11",2 кімнати,95 м²,35 000 грн,"Шевченківський,",Політехнічний інститут
"вул. Миколи Закревського, 55",2 кімнати,56 м²,5 500 грн,"Деснянський,",
"вул. Левка Лук'яненка, 21",3 кімнати,110 м²,25 000 грн,"Оболонський,",Мінська
"вул. Тростянецька, 8В",3 кімнати,72 м²,10 000 грн,"Дарницький,",Харківська
"вул. Пушкінська, 19А",3 кімнати,70 м²,29 528 грн,"Шевченківський,",Театральна
"вул. Гарматна, 16/85",3 кімнати,90 м²,21 000 грн,"Солом'янський,",Політехнічний інститут
"вул. Миколи Гулака, 4",2 кімнати,68 м²,18 000 грн,"Оболонський,",Мінська
"просп. Миру, 12",2 кімнати,45 м²,7 500 грн,"Дніпровський,",Дарниця
"вул. Мечникова, 10/2",6 кімнат,165 м²,51 685 грн,"Печерський,",Кловська
вул. Маршала Конєва,3 кімнати,100 м²,19 000 грн,"Голосіївський,",Виставковий центр
"вул. Ракетна, 24",2 кімнати,65 м²,14 000 грн,"Голосіївський,",Деміївська
"вул. Гарматна, 57",2 кімнати,47 м²,9 990 грн,"Солом'янський,",Шулявська
"вул. Ігоря Турчина, 5",2 кімнати,45 м²,4 500 грн,"Шевченківський,",Нивки
"вул. Полтавська, 3",1 кімната,32 м²,10 500 грн,"Шевченківський,",Лук'янівська
"вул. Миколи Кибальчича, 11",2 кімнати,52 м²,6 800 грн,"Дніпровський,",Чернігівська
"вул. Миколи Кибальчича, 11",1 кімната,57 м²,6 800 грн,"Дніпровський,",Чернігівська
"вул. Бальзака Оноре де, 90",2 кімнати,56 м²,7 000 грн,"Деснянський,",
"вул. Трускавецька, 2А",1 кімната,60 м²,18 727 грн,"Дарницький,",Осокорки
"вул. Солом'янська, 41/2",1 кімната,34 м²,9 000 грн,"Солом'янський,",Вокзальна
"просп. Оболонський, 22",2 кімнати,52 м²,12 000 грн,"Оболонський,",Мінська
"вул. Григорія Андрющенка, 6Г",1 кімната,50 м²,11 999 грн,"Шевченківський,",Лук'янівська
"вул. Бударіна, 5",1 кімната,36 м²,4 800 грн,"Святошинський,",Житомирська
"вул. Юліуса Фучика, 8",2 кімнати,72 м²,10 000 грн,"Солом'янський,",Вокзальна
"вул. Юліуса Фучика, 9",1 кімната,32 м²,10 000 грн,"Солом'янський,",Вокзальна
"пл. Льва Толстого, 5А/1",2 кімнати,65 м²,18 727 грн,"Шевченківський,",Площа Льва Толстого
"вул. Володимирська, 51/53",3 кімнати,79 м²,20 000 грн,"Шевченківський,",Золоті ворота
"просп. Голосіївський, 94/1",2 кімнати,45 м²,17 000 грн,"Голосіївський,",Голосіївська
"вул. Чавдар Єлизавети, 8",1 кімната,50 м²,14 000 грн,"Дарницький,",Осокорки
"вул. Ахматової Анни, 22",1 кімната,48 м²,8 000 грн,"Дарницький,",Осокорки
"вул. Ахматової Анни, 45",2 кімнати,80 м²,30 000 грн,"Дарницький,",Осокорки
"бул. Ярослава Гашека, 20",1 кімната,41 м²,8 500 грн,"Дніпровський,",Дарниця
"вул. Драгомирова, 4",3 кімнати,134 м²,27 559 грн,"Печерський,",Дружби народів
"Левандовская, 5",1 кімната,40 м²,30 000 грн,"Печерський,",Арсенальна
"вул. Бориспільська, 12В",3 кімнати,130 м²,15 000 грн,"Дарницький,",Чернігівська
Джона Маккейна вулиця,4 кімнати,125 м²,59 925 грн,"Печерський,",
"вул. Юліуса Фучика, 9",1 кімната,32 м²,10 000 грн,"Солом'янський,",Вокзальна
"вул. Вишняківська, 4",3 кімнати,75 м²,15 000 грн,"Дарницький,",Харківська
"вул. Ревуцького, 40В",1 кімната,30 м²,10 000 грн,"Дарницький,",Харківська
"просп. Голосіївський, 60",4 кімнати,120 м²,67 416 грн,"Голосіївський,",
"вул. Митрополита Василя Липківського, 40",3 кімнати,70 м²,16 000 грн,"Солом'янський,",Вокзальна
"вул. Борщагівська, 173/187",3 кімнати,72 м²,12 000 грн,"Солом'янський,",Шулявська
"вул. Василя Тютюнника, 37/1",3 кімнати,110 м²,50 000 грн,"Печерський,","Палац ""Україна"""
"Лисогірський спуск, 26",2 кімнати,60 м²,22 500 грн,"Голосіївський,",Деміївська
"вул. Болсуновська, 2",3 кімнати,98 м²,82 397 грн,"Печерський,",Дружби народів
"узвіз Кловський, 12",2 кімнати,47 м²,12 500 грн,"Печерський,",Кловська
"вул. Ревуцького, 5",4 кімнати,100 м²,16 000 грн,"Дарницький,",Харківська
вул. Герцена,4 кімнати,170 м²,27 000 грн,"Шевченківський,",Лук'янівська
"вул. Кирилівська, 168",2 кімнати,58 м²,20 000 грн,"Подільський,",
"вул. Кирилівська, 168",1 кімната,41 м²,12 000 грн,"Подільський,",Почайна(Петрівка)
