Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"вул. Панаса Мирного, 28А",1 кімната,117 м²,31 835 грн,"Печерський,",Кловська,"{'lat': 50.43444119999999, 'lng': 30.5370585}"
"вул. Патріса Лумумби, 11",2 кімнати,65 м²,33 708 грн,"Печерський,","Палац ""Україна""","{'lat': 50.4209277, 'lng': 30.5326337}"
"узвіз Андріївський, 3",2 кімнати,60 м²,74 906 грн,"Подільський,",Контрактова площа,"{'lat': 50.4615187, 'lng': 30.5171732}"
"вул. Предславинська, 53",3 кімнати,85 м²,56 180 грн,"Печерський,",,"{'lat': 50.4163373, 'lng': 30.5264989}"
"вул. Драгомирова, 16",3 кімнати,92 м²,56 180 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Інститутська, 18Б",4 кімнати,207 м²,187 266 грн,"Печерський,",,"{'lat': 50.445605, 'lng': 30.53418899999999}"
"вул. Володимирська, 49А",3 кімнати,168 м²,56 180 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4475103, 'lng': 30.5145147}"
"вул. Паторжинського, 14",3 кімнати,176 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.4504501, 'lng': 30.5178901}"
"вул. Сергія Колоса, 2",3 кімнати,72 м²,63 670 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}"
"вул. Драгомирова, 17",3 кімнати,87 м²,59 925 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
"вул. Новоселицька, 4",2 кімнати,88 м²,74 906 грн,"Печерський,",,"{'lat': 50.40895800000001, 'lng': 30.555439}"
вул. Інститутська,4 кімнати,200 м²,131 086 грн,"Шевченківський,",,"{'lat': 50.4462443, 'lng': 30.533712}"
"вул. Горького, 44",4 кімнати,100 м²,86 142 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"пров. Лабораторний, 7",2 кімнати,76 м²,56 180 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Драгомирова, 9",3 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}"
"вул. Маккейна Джона, 7",3 кімнати,72 м²,44 944 грн,"Печерський,",,"{'lat': 50.4159539, 'lng': 30.5306472}"
"вул. Драгомирова, 3",1 кімната,120 м²,74 906 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
"вул. Драгомирова, 7",2 кімнати,90 м²,56 180 грн,"Печерський,",,"{'lat': 50.4109729, 'lng': 30.5465874}"
"пров. Лабораторний, 7",2 кімнати,55 м²,41 198 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Сергія Колоса, 2",4 кімнати,80 м²,44 944 грн,"Печерський,",,"{'lat': 50.3922962, 'lng': 30.4575819}"
"вул. Драгомирова, 16",3 кімнати,115 м²,74 906 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Драгомирова, 16",3 кімнати,146 м²,74 906 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Пушкінська, 21",4 кімнати,170 м²,131 086 грн,"Шевченківський,",,"{'lat': 50.443824, 'lng': 30.51796599999999}"
"просп. Голосіївський, 60",4 кімнати,118 м²,86 142 грн,"Голосіївський,",,"{'lat': 50.401103, 'lng': 30.5120993}"
"вул. Саперне Поле, 3",4 кімнати,127 м²,131 086 грн,"Печерський,",,"{'lat': 50.4193434, 'lng': 30.530259}"
"вул. Драгомирова, 3",3 кімнати,130 м²,74 906 грн,"Печерський,",,"{'lat': 50.4125937, 'lng': 30.5468869}"
"вул. Драгомирова, 1/20а",5 кімнат,200 м²,123 595 грн,"Печерський,",,"{'lat': 50.4133862, 'lng': 30.5466086}"
"вул. Драгомирова, 18",3 кімнати,85 м²,52 434 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Регенераторна, 4",3 кімнати,90 м²,37 453 грн,"Дніпровський,",,"{'lat': 50.4375504, 'lng': 30.6213165}"
"вул. Саперне Поле, 5",2 кімнати,62 м²,56 180 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
вул. Саперне Поле,3 кімнати,164 м²,112 360 грн,"Печерський,",,"{'lat': 50.4189883, 'lng': 30.5296527}"
"вул. Механізаторів, 2",2 кімнати,110 м²,74 906 грн,"Солом'янський,",,"{'lat': 50.51998829999999, 'lng': 30.8081022}"
вул. Деміївська,3 кімнати,100 м²,82 397 грн,"Голосіївський,",,"{'lat': 50.4019745, 'lng': 30.5090048}"
Антоновича улица,4 кімнати,175 м²,93 633 грн,"Голосіївський,",,"{'lat': 50.4245543, 'lng': 30.515638}"
"вул. Новоселицька, 4",2 кімнати,88 м²,74 906 грн,"Печерський,",,"{'lat': 50.40895800000001, 'lng': 30.555439}"
"просп. Науки, 78",4 кімнати,240 м²,74 906 грн,"Голосіївський,",Університет,"{'lat': 50.37559900000001, 'lng': 30.538573}"
"вул. Андрія Головка, 12",4 кімнати,150 м²,25 000 грн,"Солом'янський,",,"{'lat': 50.4189381, 'lng': 30.4794748}"
"вул. Євгена Сверстюка, 1А",2 кімнати,72 м²,20 000 грн,"Дніпровський,",Лівобережна,"{'lat': 50.4517147, 'lng': 30.59945789999999}"
"вул. Драгомирова, 18А",2 кімнати,102 м²,37 453 грн,"Печерський,",Печерська,"{'lat': 50.4101353, 'lng': 30.5445326}"
"вул. Володимирська, 79",2 кімнати,100 м²,37 453 грн,"Печерський,",,"{'lat': 50.4371381, 'lng': 30.510287}"
"вул. Велика Васильківська, 9/2",1 кімната,100 м²,74 906 грн,"Голосіївський,",Площа Льва Толстого,"{'lat': 50.440514, 'lng': 30.5199855}"
"вул. Авіоконструктора Антонова, 4А",4 кімнати,185 м²,74 906 грн,"Солом'янський,",,"{'lat': 50.4311659, 'lng': 30.459127}"
"вул. Богдана Хмельницького, 61",3 кімнати,120 м²,93 633 грн,"Шевченківський,",,"{'lat': 50.44818, 'lng': 30.498717}"
"вул. Звіринецька, 59",4 кімнати,200 м²,93 633 грн,"Печерський,",,"{'lat': 50.40776959999999, 'lng': 30.5552412}"
"вул. Драгомирова, 5",3 кімнати,150 м²,59 925 грн,"Печерський,",,"{'lat': 50.4118674, 'lng': 30.546937}"
"просп. Бажана Миколи, 10",3 кімнати,118 м²,37 453 грн,"Дарницький,",Осокорки,"{'lat': 50.3950225, 'lng': 30.6191444}"
"вул. Драгомирова, 14",3 кімнати,156 м²,56 180 грн,"Печерський,",,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"Кропивницького вулиця, 10",4 кімнати,260 м²,112 360 грн,"Печерський,",,"{'lat': 50.4408691, 'lng': 30.5242363}"
"вул. Хрещатик, 15",3 кімнати,100 м²,56 180 грн,"Печерський,",,"{'lat': 50.4476282, 'lng': 30.5256784}"
"вул. Драгомирова, 7",5 кімнат,290 м²,374 532 грн,"Печерський,",Хрещатик,"{'lat': 50.4109729, 'lng': 30.5465874}"
"вул. Драгомирова, 18А",5 кімнат,237 м²,127 341 грн,"Печерський,",Дружби народів,"{'lat': 50.4101353, 'lng': 30.5445326}"
"Липковского Василия ул., 16Б",3 кімнати,77 м²,59 925 грн,"Солом'янський,",,"{'lat': 50.4359328, 'lng': 30.4879115}"
"просп. Володимира Івасюка, 6",3 кімнати,120 м²,56 180 грн,"Оболонський,",,"{'lat': 50.4944968, 'lng': 30.5225088}"
"вул. Глибочицька, 32Б",5 кімнат,190 м²,93 633 грн,"Подільський,",,"{'lat': 50.4621138, 'lng': 30.4941865}"
"вул. Драгомирова, 2А",3 кімнати,160 м²,56 180 грн,"Печерський,",,"{'lat': 50.41358049999999, 'lng': 30.5445166}"
"вул. Драгомирова, 20",3 кімнати,115 м²,56 180 грн,"Печерський,",Печерська,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 11",3 кімнати,115 м²,74 906 грн,"Печерський,",Печерська,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Шовковична, 20",2 кімнати,56 м²,37 453 грн,"Печерський,",,"{'lat': 50.4438153, 'lng': 30.5316605}"
"вул. Драгомирова, 16",3 кімнати,90 м²,63 670 грн,"Печерський,",,"{'lat': 50.4106795, 'lng': 30.5455096}"
"вул. Саперне Поле, 5",5 кімнат,180 м²,217 228 грн,"Печерський,",,"{'lat': 50.4190988, 'lng': 30.53113699999999}"
"вул. Драгомирова, 12",4 кімнати,150 м²,86 142 грн,"Печерський,",Печерська,"{'lat': 50.4127924, 'lng': 30.5455874}"
"вул. Драгомирова, 15",3 кімнати,90 м²,82 397 грн,"Печерський,",,"{'lat': 50.408789, 'lng': 30.5449542}"
"вул. Драгомирова, 20",3 кімнати,120 м²,65 543 грн,"Печерський,",Печерська,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 14",3 кімнати,150 м²,73 034 грн,"Печерський,",Дружби народів,"{'lat': 50.4118019, 'lng': 30.54562779999999}"
"вул. Миколи Гастелло, 10",5 кімнат,450 м²,749 064 грн,"Печерський,",,"{'lat': 50.4098072, 'lng': 30.5570367}"
"вул. Драгомирова, 20",3 кімнати,115 м²,56 180 грн,"Печерський,",Дружби народів,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Горького, 44",3 кімнати,69 м²,48 689 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"вул. Драгомирова, 18",2 кімнати,92 м²,41 198 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Сергія Колоса, 2",2 кімнати,50 м²,31 835 грн,"Печерський,",Дружби народів,"{'lat': 50.3922962, 'lng': 30.4575819}"
"вул. Василя Тютюнника, 22/26",3 кімнати,90 м²,37 453 грн,"Шевченківський,",,"{'lat': 50.4253467, 'lng': 30.5225206}"
"вул. Отто Шмідта, 18",2 кімнати,80 м²,37 453 грн,"Подільський,",,"{'lat': 50.4699453, 'lng': 30.4905005}"
"вул. Драгомирова, 2a",2 кімнати,105 м²,41 198 грн,"Печерський,",Дружби народів,"{'lat': 50.41358049999999, 'lng': 30.5445166}"
"бул. Тараса Шевченка, 2",2 кімнати,46 м²,22 472 грн,"Шевченківський,",Площа Льва Толстого,"{'lat': 50.4421276, 'lng': 30.5198391}"
"вул. Паторжинського, 2",2 кімнати,42 м²,44 944 грн,"Печерський,",Золоті ворота,"{'lat': 50.4487523, 'lng': 30.5166005}"
"вул. Антоновича, 74-78",2 кімнати,50 м²,26 217 грн,"Голосіївський,",,"{'lat': 50.4261288, 'lng': 30.5140672}"
"вул. Предславинська, 42А",2 кімнати,43 м²,29 963 грн,"Печерський,",,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Зарічна, 16",3 кімнати,80 м²,37 453 грн,"Дарницький,",,"{'lat': 50.3951037, 'lng': 30.6035855}"
"вул. Євгена Маланюка, 101ш",3 кімнати,101 м²,56 180 грн,"Дніпровський,",,"{'lat': 50.45891899999999, 'lng': 30.585785}"
"Харківське шосе, 190",2 кімнати,60 м²,20 000 грн,"Дарницький,",Харківська,"{'lat': 50.4066728, 'lng': 30.6748279}"
"вул. Саксаганського, 37К",2 кімнати,67 м²,33 708 грн,"Голосіївський,",,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Саксаганського, 37К",2 кімнати,67 м²,33 708 грн,"Голосіївський,",,"{'lat': 50.4354538, 'lng': 30.5125045}"
"вул. Зарічна, 2",2 кімнати,60 м²,25 000 грн,"Дарницький,",,"{'lat': 50.3958164, 'lng': 30.6057436}"
"вул. Предславинська, 42А",2 кімнати,80 м²,56 180 грн,,,"{'lat': 50.4156007, 'lng': 30.525237}"
"вул. Євгена Маланюка, 101ш",3 кімнати,101 м²,56 180 грн,"Дніпровський,",Гідропарк,"{'lat': 50.45891899999999, 'lng': 30.585785}"
"вул. Зарічна, 2",4 кімнати,102 м²,56 180 грн,"Дарницький,",,"{'lat': 50.3958164, 'lng': 30.6057436}"
"вул. Ломоносова, 46/1",2 кімнати,100 м²,29 963 грн,"Голосіївський,",,"{'lat': 50.3866579, 'lng': 30.4678682}"
"вул. Академика Філатова, 53",4 кімнати,164 м²,67 416 грн,"Печерський,",,"{'lat': 50.41429, 'lng': 30.5324443}"
"пров. Лабораторний, 7",2 кімнати,77 м²,41 198 грн,"Печерський,",,"{'lat': 50.4254132, 'lng': 30.519832}"
"вул. Драгомирова, 18",1 кімната,50 м²,29 963 грн,"Печерський,",,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Зарічна, 2",3 кімнати,85 м²,52 434 грн,"Дарницький,",,"{'lat': 50.3958164, 'lng': 30.6057436}"
"просп. Берестейський(Перемоги), 26А",2 кімнати,45 м²,31 835 грн,"Шевченківський,",,"{'lat': 50.4518284, 'lng': 30.4675085}"
"вул. Драгомирова, 18",2 кімнати,85 м²,41 198 грн,"Печерський,",Печерська,"{'lat': 50.4101577, 'lng': 30.5448784}"
"вул. Василя Тютюнника, 28А",2 кімнати,60 м²,41 198 грн,"Печерський,",,"{'lat': 50.4248926, 'lng': 30.5224754}"
"вул. Горького, 44",1 кімната,47 м²,59 925 грн,"Голосіївський,",,"{'lat': 50.4336785, 'lng': 30.5131808}"
"Патриса Лумумбы ул., 11",2 кімнати,65 м²,33 708 грн,"Печерський,",,"{'lat': 50.3353347, 'lng': 30.9794465}"
